Stock Symbol,Company Name,Sector / Industry,Segment,Segment Score,Recommendation Action,Recommendation Theme,Risk Bucket,Risk Score,Annualized Return (%),Volatility (%),Risk-Adjusted Return,Liquidity Score,Investor Confidence Score,Opportunity Score,Average Delivery (%),Max Drawdown (%),Downside Volatility (%),Historical VaR 95 (%),Historical CVaR 95 (%),Stable Compounder Score,Growth-Risk Score,Liquid Trading Score,Weak Risk-Return Score,Defensive Score,Segment Rationale
VEDL,Vedanta Ltd.,METALS,Weak Risk-Return Candidates,79.18367346938776,Avoid,Underweight / Avoid List,High,98.9795918367347,1.0315517595464565,40.16777474183403,0.0256810780825285,68.36734693877551,11.224489795918368,30.10204081632653,34.86140859766277,-92.42088633811451,24.221126759091256,4.174634323880342,5.211507825501113,18.28571428571429,76.42857142857143,72.65306122448979,79.18367346938776,1.6326530612244898,"Returns are weak relative to risk, with risk-adjusted return 0.03 and drawdown -92.42%."
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,Weak Risk-Return Candidates,88.57142857142857,Avoid,Underweight / Avoid List,High,94.3877551020408,-3.704229220977451,37.34638360679924,-0.0991857541007815,67.34693877551021,25.30612244897959,23.469387755102044,45.22112596615834,-86.13007087237101,23.106106742038,3.833523814000775,4.941627316544167,13.79591836734694,67.24489795918367,71.53061224489795,88.57142857142857,6.938775510204087,"Returns are weak relative to risk, with risk-adjusted return -0.10 and drawdown -86.13%."
HINDALCO,Hindalco Industries Ltd.,METALS,High Growth High Risk,77.55102040816327,Trade Candidate,Risk-Capped Growth Sleeve,High,91.83673469387756,6.620496489148331,34.713139691177126,0.1907201868815983,66.3265306122449,37.6530612244898,45.255102040816325,43.40255385902531,-88.02525096689884,21.39665086193791,3.601807798138437,4.559482083517481,31.10204081632653,77.55102040816327,67.90816326530611,64.89795918367346,9.591836734693874,"Growth remains attractive (6.62% annualized), but volatility (34.71%) and left-tail risk (VaR 3.60%) are elevated."
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,Liquid Trading Candidates,95.56122448979592,Trade Candidate,Execution-First Trading Watchlist,High,91.32653061224492,3.6185804277761418,35.677366338894046,0.1014250994146759,94.89795918367346,24.59183673469388,40.25510204081633,36.052944490818035,-85.20395507462747,21.570917474090344,3.688060740632922,4.639037843423955,24.9795918367347,74.79591836734693,95.56122448979592,71.12244897959182,5.714285714285721,"Execution profile is strong with liquidity score 94.90, making the stock easier to trade even when return quality is mixed."
TATASTEEL,Tata Steel Ltd.,METALS,Liquid Trading Candidates,88.9795918367347,Trade Candidate,Execution-First Trading Watchlist,High,87.24489795918367,10.878517754323758,34.274734239892,0.3173917462987172,86.73469387755102,16.632653061224488,55.71428571428571,26.09513355592654,-84.87644796121413,21.03603440483391,3.6202594257786824,4.4626352365563315,41.14285714285714,84.48979591836735,88.9795918367347,50.204081632653065,8.163265306122446,"Execution profile is strong with liquidity score 86.73, making the stock easier to trade even when return quality is mixed."
JSWSTEEL,JSW Steel Ltd.,METALS,High Growth High Risk,82.44897959183673,Trade Candidate,Risk-Capped Growth Sleeve,High,86.73469387755102,8.912829154396196,34.77862169834766,0.2562732138065047,57.142857142857146,30.10204081632653,50.7142857142857,30.39801952929394,-75.61295125674717,21.254610782716934,3.6903969391073015,4.548990607957528,38.69387755102041,82.44897959183673,56.836734693877546,53.87755102040816,6.3265306122448965,"Growth remains attractive (8.91% annualized), but volatility (34.78%) and left-tail risk (VaR 3.69%) are elevated."
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,Weak Risk-Return Candidates,91.73469387755102,Avoid,Underweight / Avoid List,High,86.73469387755102,-4.577160178505235,33.17797333863167,-0.1379577990430082,55.102040816326536,23.36734693877551,14.999999999999998,44.589873570138465,-86.90292263318501,20.66853026459968,3.4588030572152864,4.433382135926155,11.102040816326532,58.06122448979592,53.673469387755105,91.73469387755102,15.102040816326532,"Returns are weak relative to risk, with risk-adjusted return -0.14 and drawdown -86.90%."
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,High Growth High Risk,74.38775510204081,Trade Candidate,Risk-Capped Growth Sleeve,High,81.12244897959185,8.013288030774213,32.84078830214027,0.2440041316015541,64.28571428571428,27.75510204081633,47.90816326530612,48.90023973316656,-82.1511355795685,20.046602172005827,3.4432236877236053,4.232302992452028,42.61224489795918,74.38775510204081,64.54081632653062,55.71428571428572,20.816326530612244,"Growth remains attractive (8.01% annualized), but volatility (32.84%) and left-tail risk (VaR 3.44%) are elevated."
TITAN,Titan Company Ltd.,CONSUMER GOODS,Weak Risk-Return Candidates,80.71428571428571,Avoid,Underweight / Avoid List,High,81.12244897959184,-0.6338699963439831,31.079247891261648,-0.0203952810750675,24.48979591836735,12.551020408163264,17.755102040816325,36.7944449081803,-95.18793019551536,19.03472190916049,3.3493294364437673,4.06414024933766,19.265306122448976,57.14285714285714,23.46938775510204,80.71428571428571,22.857142857142858,"Returns are weak relative to risk, with risk-adjusted return -0.02 and drawdown -95.19%."
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,Liquid Trading Candidates,95.76530612244898,Trade Candidate,Execution-First Trading Watchlist,High,80.10204081632654,-2.098120293108907,31.86964546892293,-0.0658344409621641,94.89795918367346,42.244897959183675,33.8265306122449,47.346297765713096,-85.50793595411498,19.438234429106643,3.370220722339136,4.20280326756177,21.95918367346939,58.06122448979591,95.76530612244898,81.63265306122449,23.46938775510204,"Execution profile is strong with liquidity score 94.90, making the stock easier to trade even when return quality is mixed."
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,Liquid Trading Candidates,83.6734693877551,Trade Candidate,Execution-First Trading Watchlist,High,79.08163265306122,-0.1410451116936606,32.99807179794897,-0.0042743440452307,79.59183673469389,33.16326530612245,38.775510204081634,46.69621013133209,-73.01605298285956,20.416581212761827,3.5123515356238,4.358538552755346,28.163265306122454,65.40816326530611,83.6734693877551,72.34693877551021,17.142857142857146,"Execution profile is strong with liquidity score 79.59, making the stock easier to trade even when return quality is mixed."
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,Weak Risk-Return Candidates,89.99999999999999,Avoid,Underweight / Avoid List,High,77.55102040816327,-3.8784339722373606,30.0497742494724,-0.1290669919859866,9.183673469387754,51.73469387755102,13.979591836734697,57.46766937669378,-94.10107553892703,18.468247577481893,3.211607095538268,3.9344242536557306,21.877551020408163,48.775510204081634,8.877551020408163,89.99999999999999,38.57142857142857,"Returns are weak relative to risk, with risk-adjusted return -0.13 and drawdown -94.10%."
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,High Growth High Risk,69.28571428571428,Trade Candidate,Risk-Capped Growth Sleeve,High,76.0204081632653,6.038737655581539,32.313364036486576,0.1868805008591154,31.632653061224488,66.0204081632653,47.04081632653061,55.85018687222612,-75.37151620068398,19.591036652057543,3.3677665367519074,4.186152799451977,45.71428571428572,69.28571428571428,29.693877551020407,58.97959183673469,30.40816326530613,"Growth remains attractive (6.04% annualized), but volatility (32.31%) and left-tail risk (VaR 3.37%) are elevated."
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,Weak Risk-Return Candidates,81.83673469387756,Avoid,Underweight / Avoid List,High,72.44897959183673,-2.3930475831278053,30.34425818103785,-0.0788632751820976,76.53061224489795,52.65306122448979,31.3265306122449,52.17112652374948,-87.70439036874514,17.997843604968054,3.1169443199750355,3.907563523248667,24.489795918367346,49.28571428571429,79.6938775510204,81.83673469387756,38.16326530612245,"Returns are weak relative to risk, with risk-adjusted return -0.08 and drawdown -87.70%."
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,Weak Risk-Return Candidates,61.22448979591837,Avoid,Underweight / Avoid List,High,70.40816326530613,5.8782268329399034,29.036093737819343,0.2024455109567147,47.95918367346939,54.59183673469387,43.92857142857142,51.47848402589267,-87.42117584750562,18.433311847710307,3.12405465974868,3.909007577443437,42.53061224489796,58.16326530612245,47.90816326530612,61.22448979591837,39.38775510204081,"Returns are weak relative to risk, with risk-adjusted return 0.20 and drawdown -87.42%."
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,High Growth High Risk,69.08163265306123,Trade Candidate,Risk-Capped Growth Sleeve,High,69.38775510204081,14.051256320511229,29.415610985556068,0.4776802469753496,47.95918367346939,73.36734693877551,65.05102040816327,62.785978283566514,-89.79336077582474,17.98526536302466,3.0798001888761974,3.853993884208224,64.73469387755102,69.08163265306123,48.214285714285715,39.48979591836735,49.18367346938776,"Growth remains attractive (14.05% annualized), but volatility (29.42%) and left-tail risk (VaR 3.08%) are elevated."
SBIN,State Bank of India,FINANCIAL SERVICES,Liquid Trading Candidates,98.87755102040816,Trade Candidate,Execution-First Trading Watchlist,High,68.36734693877551,6.90224284507881,29.92986913130707,0.2306138665290375,97.95918367346938,23.163265306122447,50.61224489795919,28.03631260434056,-80.25597615983074,18.24506362470467,3.206128962439313,3.9132984083289224,38.69387755102041,62.75510204081632,98.87755102040816,54.795918367346935,26.530612244897963,"Execution profile is strong with liquidity score 97.96, making the stock easier to trade even when return quality is mixed."
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,High Growth High Risk,71.3265306122449,Trade Candidate,Risk-Capped Growth Sleeve,Medium,67.34693877551021,8.759064112345394,32.475586631587575,0.2697122676092273,40.81632653061224,28.92857142857143,51.071428571428584,44.34498644986449,-61.61100136387988,19.33487652470445,3.34374186833203,4.1428776714085425,47.755102040816325,71.3265306122449,37.09183673469388,45.20408163265306,22.244897959183675,"Growth remains attractive (8.76% annualized), but volatility (32.48%) and left-tail risk (VaR 3.34%) are elevated."
HCLTECH,HCL Technologies Ltd.,IT,High Growth High Risk,81.22448979591837,Trade Candidate,Risk-Capped Growth Sleeve,Medium,65.3061224489796,16.037108393395762,31.289156449566157,0.5125452461220994,42.85714285714286,61.0204081632653,74.79591836734696,50.42064832186783,-61.244951098142984,19.35085164484566,3.27410857526313,4.09810786552327,68.0,81.22448979591837,41.224489795918366,25.714285714285708,28.77551020408163,"Growth remains attractive (16.04% annualized), but volatility (31.29%) and left-tail risk (VaR 3.27%) are elevated."
