Sector / Industry,Constituent Stock Count,Trading Days,Cumulative Return (%),Annualized Return (%),Average Annual Return (%),Volatility (%),Average Daily Return (%),Max Drawdown (%),Risk-Adjusted Return,Average Volume,Average Turnover (Cr),Average Delivery (%),Positive Return Days (%),Close Above VWAP (%),Liquidity Score,Investor Confidence Score,Opportunity Score,Best Stock by Opportunity,Best Stock Company,Pre-COVID Return (%),COVID Crash Return (%),COVID Recovery Return (%),Pre-COVID Volatility (%),COVID Crash Volatility (%),COVID Recovery Volatility (%),Recovery Minus Crash (pp)
CEMENT & CEMENT PRODUCTS,3,5200,2316.423192324032,16.689207766294633,20.900489650326097,22.57936442331522,0.0713713804940366,-63.34667441824784,0.739135409367924,697838.9291368262,125.61516095332644,59.64774755055243,50.3392385978138,46.55107425555974,19.23076923076923,90.0,82.6923076923077,GRASIM,Grasim Industries Ltd.,4.6330856009276555,-15.383108717782113,45.26946999488701,21.652969351841122,33.32434794067194,24.33110353184128,60.652578712669126
PHARMA,3,5271,416.7932202713622,8.168995222375841,9.724963327165966,18.637087939227857,0.0380571325407122,-40.7401975973263,0.4383192937122711,4218303.745005654,315.08866281692144,52.97790806754221,50.65963060686016,44.383716547304935,46.15384615384616,69.61538461538463,78.26923076923077,DRREDDY,Dr. Reddy's Laboratories Ltd.,4.170068672291216,-15.055985913772663,19.932599202182487,16.17479596338735,27.44006237447848,22.1812754645458,34.988585115955146
IT,5,5225,791.3041884260812,11.126959831947648,14.853905214826874,23.451866488141455,0.0527899570373112,-65.62332683080527,0.4744594566736956,8902190.905955521,908.9064095382246,48.09598551177819,51.20618168111571,46.53222766679231,73.07692307692308,58.076923076923066,77.3076923076923,TCS,Tata Consultancy Services Ltd.,13.553018376352743,-7.637356513455417,58.63555109648257,14.383049935940567,30.004313190859005,21.575711293046158,66.27290760993799
AUTOMOBILE,6,5295,445.5824099698245,8.409841220625736,13.05882860533196,20.622976574655617,0.0404893122390118,-60.85754672575228,0.4077898837823885,13830720.679607991,802.0416070889067,47.46702644013619,51.9977384093479,45.25065963060686,76.92307692307693,53.07692307692308,75.76923076923077,BAJAJ-AUTO,Bajaj Auto Ltd.,-26.91141191473625,-14.829003613652025,57.521475641949074,19.379405418246407,29.355961737198164,21.14527504720936,72.3504792556011
FINANCIAL SERVICES,9,5291,304.1867586839488,6.878492682919024,10.995974569832644,19.783362497715164,0.0341754435138113,-64.36296780603071,0.3476907772232066,30900715.4917075,2075.905466354687,51.15268304677858,52.299283829626845,46.60761402186204,100.0,75.76923076923076,70.76923076923077,HDFC,Housing Development Finance Corporation Ltd.,22.880931011353447,-10.50326904309522,56.02923521243006,17.57580842701363,29.634098680268323,26.646163302997255,66.53250425552528
ENERGY,7,5299,268.37124878569415,6.397240615954591,8.88573298194277,18.766258303962445,0.0315998230622876,-44.99777137166793,0.3408905767114924,27782904.198266115,1079.2297413912015,50.2265638742468,51.97889182058047,44.10101771579344,92.3076923076923,53.46153846153846,64.23076923076923,RELIANCE,Reliance Industries Ltd.,-13.231768107869456,-14.244835874202922,7.601802138532543,17.66790014323169,28.61796890871404,20.00430648669381,21.846638012735465
CONSUMER GOODS,6,5303,198.58806978154809,5.335696657236144,7.139254860459506,14.01387421956584,0.0245279644531873,-62.5166537938705,0.3807438666594118,11086080.643045608,520.5569556372409,57.79621027030784,52.52544289483604,44.21409724839804,65.38461538461539,83.84615384615384,63.46153846153846,ASIANPAINT,Asian Paints Ltd.,8.555485722503109,-9.43431358335406,13.440419247727498,11.603793376905228,20.131017289604237,14.43675247375994,22.87473283108156
METALS,5,5289,410.0861444700405,8.072805203001177,19.830215611629058,28.130991321359005,0.0465325473449915,-71.20391231157383,0.2869719417556302,23233202.824538257,647.7013778777552,36.98453422277812,51.37580098002261,44.00678477195627,76.92307692307692,20.769230769230766,54.230769230769226,TATASTEEL,Tata Steel Ltd.,-15.95613612369976,-19.586512335636908,102.22961730999423,25.99206544408803,45.07644821925029,26.60534740833551,121.81612964563114
FERTILISERS & PESTICIDES,1,4098,159.47891349841083,6.038737655581539,8.541604613903996,32.313364036486576,0.0439702445570705,-75.37151620068398,0.1868805008591154,1692214.695124796,73.69939439606019,55.85018687222612,48.58875670632143,44.15675297410777,11.538461538461538,68.07692307692308,39.61538461538461,UPL,UPL Ltd.,10.11290692835194,-4.851277015706912,76.56350885714849,23.974287473387523,28.455040057186253,30.531583660114414,81.4147858728554
CONSTRUCTION,1,3948,95.93158053462274,4.3866509712675805,9.199338726271703,26.306587916532465,0.0307538611945425,-72.85804157917408,0.1667510429397335,1917126.998087954,264.4571704535504,47.46107791586998,46.82122370936902,44.024856596558315,34.61538461538461,30.769230769230766,32.5,LT,Larsen & Toubro Ltd.,-26.85858700662298,-6.052025227631297,12.959361627248867,20.50047264171503,26.352632928701098,23.856571880524097,19.011386854880165
