industry,constituent_stock_count,trading_days,cumulative_return_percent,annualized_return_percent,volatility_percent,average_daily_return,max_drawdown_percent,risk_adjusted_return,average_volume,average_turnover_cr,average_delivery_percent,positive_return_day_ratio,close_above_vwap_ratio,average_annual_return_percent,liquidity_score,investor_confidence_score,opportunity_score
CEMENT & CEMENT PRODUCTS,3,5200,2316.423192324032,16.689207766294633,22.57936442331522,0.07137138049403664,-63.34667441824784,0.739135409367924,697838.9291368262,125.61516095332644,59.64774755055243,50.3392385978138,46.55107425555974,20.900489650326097,19.23076923076923,90.0,82.6923076923077
PHARMA,3,5271,416.7932202713622,8.168995222375841,18.637087939227857,0.03805713254071222,-40.7401975973263,0.4383192937122711,4218303.745005654,315.08866281692144,52.97790806754221,50.65963060686016,44.383716547304935,9.724963327165966,46.15384615384616,69.61538461538463,78.26923076923077
IT,5,5225,791.3041884260812,11.126959831947648,23.451866488141455,0.05278995703731122,-65.62332683080527,0.47445945667369566,8902190.905955521,908.9064095382246,48.095985511778196,51.206181681115716,46.53222766679231,14.853905214826874,73.07692307692308,58.076923076923066,77.3076923076923
AUTOMOBILE,6,5295,445.5824099698245,8.409841220625736,20.622976574655617,0.04048931223901188,-60.85754672575228,0.40778988378238856,13830720.679607991,802.0416070889067,47.46702644013619,51.9977384093479,45.25065963060686,13.05882860533196,76.92307692307693,53.07692307692308,75.76923076923077
FINANCIAL SERVICES,9,5291,304.1867586839488,6.878492682919024,19.783362497715164,0.03417544351381135,-64.36296780603071,0.3476907772232066,30900715.4917075,2075.905466354687,51.15268304677858,52.299283829626845,46.60761402186204,10.995974569832644,100.0,75.76923076923076,70.76923076923077
ENERGY,7,5299,268.37124878569415,6.397240615954591,18.766258303962445,0.03159982306228765,-44.99777137166793,0.3408905767114924,27782904.198266115,1079.2297413912015,50.2265638742468,51.97889182058047,44.10101771579344,8.88573298194277,92.3076923076923,53.46153846153846,64.23076923076923
CONSUMER GOODS,6,5303,198.58806978154809,5.335696657236144,14.013874219565839,0.024527964453187383,-62.5166537938705,0.3807438666594118,11086080.643045608,520.5569556372409,57.79621027030784,52.52544289483604,44.21409724839804,7.139254860459506,65.38461538461539,83.84615384615384,63.46153846153846
METALS,5,5289,410.08614447004044,8.072805203001177,28.130991321359005,0.04653254734499155,-71.20391231157383,0.28697194175563023,23233202.824538257,647.7013778777552,36.98453422277812,51.37580098002261,44.006784771956276,19.830215611629058,76.92307692307692,20.769230769230766,54.230769230769226
FERTILISERS & PESTICIDES,1,4098,159.47891349841083,6.038737655581539,32.313364036486576,0.04397024455707053,-75.37151620068398,0.18688050085911542,1692214.695124796,73.69939439606019,55.85018687222612,48.58875670632143,44.15675297410777,8.541604613903996,11.538461538461538,68.07692307692308,39.61538461538461
CONSTRUCTION,1,3948,95.93158053462274,4.3866509712675805,26.306587916532465,0.03075386119454254,-72.85804157917408,0.16675104293973353,1917126.998087954,264.4571704535504,47.46107791586998,46.82122370936902,44.024856596558315,9.199338726271703,34.61538461538461,30.769230769230766,32.5
TELECOM,1,4558,-35.473931167840355,-2.3930475831278053,30.34425818103785,0.008627510831266201,-87.70439036874514,-0.07886327518209763,5341069.542731462,224.52175904894534,52.17112652374948,46.39715123586091,45.41265186426477,2.8870650394396726,46.15384615384616,61.92307692307692,30.576923076923077
MEDIA & ENTERTAINMENT,1,4991,-52.64871590943301,-3.7042292209774508,37.34638360679924,0.012662921294979396,-86.13007087237101,-0.09918575410078159,4825421.878816434,124.90963464933188,45.22112596615834,46.56992084432718,42.970222389747455,1.2090096971539872,34.61538461538461,19.999999999999996,19.42307692307692
SERVICES,1,3172,-44.553028301949126,-4.577160178505235,33.17797333863167,0.0032437197464602625,-86.90292263318501,-0.13795779904300828,2954563.9217338953,107.01441437291543,44.589873570138465,46.74894641782059,42.44431065623119,3.5591241161105795,23.076923076923077,14.615384615384615,11.153846153846153
