symbol,company_name,industry,start_date,end_date,trading_days,cumulative_return_percent,annualized_return_percent,volatility_percent,average_daily_return,max_drawdown_percent,risk_adjusted_return,average_volume,average_turnover_cr,average_delivery_percent,positive_return_day_ratio,close_above_vwap_ratio,liquidity_score,investor_confidence_score,opportunity_score
TCS,Tata Consultancy Services Ltd.,IT,2004-08-25,2021-04-30,3939,1907.2149251045544,21.153024867367144,23.27738821007539,0.0869057518999816,-51.89354692031849,0.9087370402754749,1676761.9504711283,295.2102050118253,54.94288475477169,48.876540227107995,47.98260449383909,66.32653061224491,77.55102040816325,91.73469387755102
RELIANCE,Reliance Industries Ltd.,ENERGY,2000-01-03,2021-04-30,5086,2783.777693402639,18.123923149396393,26.17323419256928,0.07969612406527384,-45.34769841810407,0.6924602063333034,5583027.542404825,607.6714582596665,43.503944073455756,49.45344892574444,44.60987561251413,89.79591836734693,36.224489795918366,84.79591836734694
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5018,1400.998658929803,14.571576900802974,20.323703565153664,0.062179935637975636,-42.08817952994007,0.7169744851911197,509672.0868827742,69.42918564962119,62.55723785699395,47.64417640407086,47.870335469280064,18.367346938775512,85.0,80.61224489795917
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,5035,891.6615404889667,12.167656257584403,26.72590283733752,0.05973087865626109,-52.946452212044136,0.4552757798919157,1848186.9159442142,262.0758699196042,65.30880967271212,47.47455710516397,52.2238974745571,63.265306122448976,90.81632653061223,79.6938775510204
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,2008-05-26,2021-04-30,3046,517.0653581476461,16.247934268170617,22.868703175866408,0.07011859832433387,-26.75365989752495,0.7104877851279839,411463.91692692065,96.4402399033604,50.940143660212364,47.845096814490944,47.033104309806376,24.489795918367346,60.91836734693877,79.64285714285714
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4971,618.3112273276196,10.51212640581658,21.95750709564712,0.049227233962103156,-44.984776445483185,0.478748628431527,2102579.5156426686,244.8836674484188,59.500258494892634,47.229551451187334,51.300414624952886,66.3265306122449,81.27551020408163,79.03061224489797
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,2003-07-09,2021-04-30,4199,1739.283581309557,19.095949814762704,26.23350174565427,0.08300133079166624,-46.82202187698117,0.7279222575737933,1194660.7969279422,239.53071452694942,38.7390849525531,47.797605601987804,44.54483849107748,53.06122448979592,28.36734693877551,77.75510204081633
HCLTECH,HCL Technologies Ltd.,IT,2000-01-11,2021-04-30,4933,1738.6959010932508,16.037108393395762,31.289156449566157,0.07844950394418379,-61.244951098142984,0.5125452461220994,1645120.7196226416,107.52131831229056,50.42064832186783,48.16981132075472,47.64150943396226,42.85714285714286,61.0204081632653,74.79591836734696
INFY,Infosys Ltd.,IT,2000-01-03,2021-04-30,5026,830.1314854933782,11.830975186719073,26.634451081177318,0.05844619171908234,-70.3480745525297,0.4441981984408184,2622812.971353185,385.5758158873021,53.636629143214506,48.52996607614022,49.54768186958161,78.57142857142857,76.12244897959184,74.59183673469387
ITC,ITC Ltd.,CONSUMER GOODS,2000-01-03,2021-04-30,5039,472.72032774220304,9.120073706200603,23.099916053957458,0.045219226073953143,-53.40144074229569,0.3948098202996786,7173165.020731248,179.9399440371749,59.16343280467446,47.88918205804749,47.776102525442894,82.6530612244898,79.89795918367345,74.38775510204081
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,2000-01-03,2021-04-30,4983,931.2333535451368,12.5245880325064,23.337813281689627,0.0576344340757451,-39.18311778038128,0.5366650200399425,440981.54165096115,104.50215414171315,52.3664269335001,48.11534112325669,44.9868073878628,28.57142857142857,58.77551020408163,73.9795918367347
MM,Mahindra & Mahindra Ltd.,AUTOMOBILE,2000-01-03,2021-04-30,5030,1648.8636542087363,15.414754467851033,29.66813908519976,0.07435482895525264,-67.37587969007808,0.5195726777329568,1536694.3315114963,108.12401822486807,49.68878465707734,48.77497173011685,45.19411986430456,40.816326530612244,54.08163265306122,70.25510204081633
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,2000-01-03,2021-04-30,5022,1297.2174991205466,14.148036452138403,25.82303223706574,0.06573576362602515,-58.927921648509006,0.5478843972409507,481077.3682623445,50.413943429462876,49.5071669793621,47.51225028269883,45.797210704862415,12.244897959183675,50.10204081632653,67.14285714285714
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,2000-01-03,2021-04-30,5001,602.9531253996469,10.325664913778109,25.8905600681051,0.05228443403095987,-57.03041560280195,0.39881968125125355,2227251.181115718,132.16954939304185,55.624282126412716,47.11647191858274,44.534489257444406,59.183673469387756,57.55102040816326,66.63265306122449
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,2000-01-03,2021-04-30,4876,1173.0372335878117,14.051256320511229,29.415610985556068,0.06933584570266325,-89.79336077582474,0.4776802469753496,611608.5197707736,178.96013586048423,62.785978283566514,46.532951289398284,45.48233046800382,47.95918367346939,73.36734693877551,65.05102040816327
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,2000-01-03,2021-04-30,4727,736.7842718157552,11.991544630884343,29.628247225737926,0.06233884023969388,-72.16756004602551,0.4047335145923631,25074.952457372117,19.757222633274825,68.23390452366063,47.70310932798395,48.224674022066196,2.0408163265306123,92.44897959183675,63.775510204081634
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,2004-08-24,2021-04-30,3941,381.5158549649753,10.572792914585062,25.576136892518882,0.052856889052057286,-67.85556585920452,0.4133850612004522,247617.92367149759,72.59128148665337,60.19182367149758,48.5024154589372,46.73913043478261,15.306122448979593,83.46938775510203,63.673469387755105
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,2010-01-08,2021-04-30,2682,108.63395277292489,7.154231906278818,18.93858728859118,0.03453254474253645,-35.94915804407718,0.3777595338691714,54499.00142551675,54.93843837766928,66.20740555951532,48.25374198146829,46.32929436920884,6.122448979591837,88.6734693877551,62.70408163265305
