year,trading_days,cumulative_return_percent,annualized_return_percent,volatility_percent,average_daily_return,max_drawdown_percent,risk_adjusted_return,average_volume,average_turnover_cr,average_delivery_percent,average_vwap_gap,average_stock_count,average_sector_count
2000,250,-36.43308354382787,-36.663072160771506,16.58594628319626,-0.17561659618224126,-43.73899094996305,-2.2104902267720474,24508486.568,1380.03709688484,,-1.4587159359166864,30.816,9.0
2001,248,-14.762363234697107,-14.981673531800531,14.844246138252709,-0.06001813494340785,-28.572952873729275,-1.0092579570742688,24806610.346774194,961.9623325497179,,-0.264399809933769,31.70967741935484,9.0
2002,251,-6.934004020853058,-6.960645005489519,12.208249353844055,-0.025675707618269924,-23.22551258261424,-0.5701591443410186,22140797.442231074,750.9524923371913,55.06356237961047,-0.4037851334666429,34.85657370517928,9.864541832669323
2003,254,50.54333800972643,50.059201686140334,14.64139885321701,0.16542301119090877,-10.622816490001764,3.419017690044098,40656900.57480315,1431.1319970585826,50.18117191646091,-0.38727715285589265,35.488188976377955,10.0
2004,254,22.560178648426408,22.364015646204205,16.141427094409334,0.08528014311379281,-14.905950140261936,1.3855042379710092,59910183.52362205,2515.069825257205,44.123722709429266,-0.45889680296332935,38.33464566929134,11.468503937007874
2005,251,20.03628791360219,20.123656332317964,14.275820285197335,0.07681956431968211,-13.279399015876802,1.4096322264006276,45933778.80876494,2155.822474669502,50.70846496360666,-0.3816057257612989,41.78087649402391,12.0
2006,250,18.378675619894302,18.53856480142424,17.466943779658845,0.0735599767814773,-23.477293231964826,1.0613513752195936,51191009.328,2912.37699439888,51.78157887691434,-0.6093937320044297,42.348,12.0
2007,249,14.781688523451674,14.97249763923092,16.617236229436802,0.060858252279035865,-12.689589553029744,0.9010221334344221,59380450.36947791,3700.2466737644972,56.13067949653576,-0.8425265501753314,43.333333333333336,12.092369477911646
2008,246,-41.59044078861909,-42.35144645627935,20.77051970982085,-0.20979217776033,-45.17444517467194,-2.0390171766503498,78366173.61382113,4779.243657005508,52.04847134486111,-0.47035182302177775,46.21138211382114,13.0
2009,243,48.716974985336826,50.919120903655404,17.598612131172324,0.16956947434676903,-11.339300875154867,2.893360028854926,111487225.45679012,5829.492939465927,47.85276192562552,-0.35290875659670023,46.98765432098765,13.0
2010,252,18.57993286840729,18.57993286840729,12.814640445683633,0.070899006960996,-7.630100742755763,1.4498988830127952,87194770.33730158,5553.725970095,51.674355696833786,-0.6978275837732933,48.142857142857146,13.0
2011,247,-18.625946713371377,-18.964759820592004,15.732291522409975,-0.07852403620692272,-19.366461282211645,-1.2054670989014866,93588880.9271255,5305.459956759413,51.656868544988846,-0.7105800214822768,49.0,13.0
2012,251,36.054003960931766,36.220992966565156,12.218112594736796,0.12568285983938796,-8.510992884595215,2.964532589277995,95426076.28685258,4987.577348286493,54.4526969672331,-0.2021318806407012,49.0,13.0
2013,250,3.889368033201568,3.9210852098120696,13.655827154733698,0.01895141485806105,-11.477270676301842,0.2871364118322816,106718681.54,5604.726635430559,56.3086987755102,-0.5858081632653074,49.0,13.0
2014,244,30.23950275276235,31.37259727864603,11.446063413649894,0.11092834381669972,-6.232574471144359,2.74090716999112,111647287.64344262,6638.665984402765,55.743916025426564,-0.32447892271662787,49.0,13.0
2015,248,0.2987603357939683,0.3035863580362008,13.473654665104506,0.004799555124736652,-10.853811633880584,0.022531849418885645,137227880.7217742,7569.623670766834,54.02697992100066,-0.7098510533245549,49.0,13.0
2016,247,9.693006765245782,9.898630337225999,13.517244752795285,0.04107507984625942,-12.616236081858679,0.7322964493321779,173846672.55870447,8054.175378255446,54.03337602247375,-0.2517334545154148,49.0,13.0
2017,248,27.79666874758653,28.303230154207128,9.107279628592181,0.10058656152201138,-4.812751444224128,3.107758991537881,179553080.14919356,9620.170303245684,54.8056344634628,0.00488150098749306,49.0,13.0
2018,246,-0.07828397685590849,-0.08019257635817345,12.038695144509443,0.0025470900648253904,-12.15816713262462,-0.006661234909229124,234510902.0894309,13217.154217822965,47.4988949726232,-0.9872631491621013,49.0,13.0
2019,245,-2.1306783405956597,-2.190883142099298,12.347436038592384,-0.005775959928186514,-15.250576805631088,-0.17743628193348066,314352917.94693875,17043.14289898463,41.55815493544357,-0.4854768846314051,49.0,13.0
2020,252,12.288969311333764,12.288969311333764,17.179292985622926,0.05185868660166433,-22.590650742165565,0.7153361504235479,625296298.3253968,30577.307733108533,32.77384677680596,-1.2086402656300586,49.0,13.0
2021,80,2.3279934201624553,7.518338047934181,17.391774412828543,0.034719134786269264,-7.035747286369998,0.4322927534287988,634543722.9,36801.659116856245,33.49539795918368,-1.700999999999997,49.0,13.0
